,review_title,rate,review
0,Nayaz Shariff,5.0,Very Amazing watch thank meesho ??
1,Rajeda,4.0,Bohot acha Aya hai jaysa dikhaya tha bilkul waisa hi aya hai but dilevery bohot let huwa hai
